epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.757,3.15902,2.72263,2.45995,0.68694,0.55824,0.66458,0.36821,3.39068,3.10186,2.7349,0.000553129,0.000553129,0.000553129
2,205.976,3.2108,2.32757,2.5061,0.42663,0.72846,0.41796,0.23155,3.20617,19.7583,2.75211,0.00107221,0.00107221,0.00107221
3,305.111,3.20386,2.23279,2.47631,0.84404,0.74412,0.82803,0.48556,3.00615,1.86489,2.55311,0.00155461,0.00155461,0.00155461
4,404.663,3.10313,2.06356,2.43098,0.8355,0.68454,0.77371,0.43984,3.13497,2.09889,2.63033,0.00150197,0.00150197,0.00150197
5,503.768,3.02202,1.95843,2.39858,0.86628,0.78438,0.86172,0.52532,2.83682,1.62388,2.44432,0.00144696,0.00144696,0.00144696
6,602.801,2.97444,1.85544,2.35425,0.89616,0.77515,0.87213,0.53802,2.79962,1.55118,2.43779,0.00139195,0.00139195,0.00139195
7,702.064,2.90352,1.76507,2.33059,0.88741,0.80361,0.88612,0.55102,2.77292,1.45398,2.43954,0.00133693,0.00133693,0.00133693
8,801.17,2.86639,1.72891,2.31801,0.8705,0.80043,0.88787,0.54533,2.82347,1.46361,2.43462,0.00128192,0.00128192,0.00128192
9,899.446,2.86629,1.68753,2.30935,0.9092,0.81847,0.90738,0.56553,2.7347,1.36323,2.38568,0.00122691,0.00122691,0.00122691
10,998.713,2.81001,1.62591,2.29821,0.87968,0.82875,0.89919,0.55352,2.80511,1.37872,2.42368,0.0011719,0.0011719,0.0011719
11,1097.69,2.80611,1.6071,2.27089,0.89401,0.82373,0.89647,0.5647,2.74474,1.38446,2.40042,0.00111689,0.00111689,0.00111689
12,1196.51,2.77748,1.56999,2.27388,0.89022,0.84829,0.92328,0.58716,2.65064,1.23926,2.3338,0.00106188,0.00106188,0.00106188
13,1295.44,2.75616,1.51145,2.25514,0.91866,0.84809,0.92335,0.59573,2.62013,1.21163,2.33032,0.00100687,0.00100687,0.00100687
14,1393.89,2.6945,1.46802,2.22798,0.9081,0.85149,0.92097,0.58213,2.68402,1.26432,2.3551,0.000951857,0.000951857,0.000951857
15,1495.48,2.69282,1.45542,2.21821,0.91484,0.85413,0.92866,0.60145,2.61829,1.16811,2.31286,0.000896846,0.000896846,0.000896846
16,1596.87,2.6585,1.4296,2.20823,0.91173,0.86413,0.92788,0.60607,2.59828,1.16804,2.30218,0.000841835,0.000841835,0.000841835
17,1697.07,2.6481,1.40909,2.20644,0.91344,0.87081,0.931,0.60393,2.5675,1.14063,2.2981,0.000786824,0.000786824,0.000786824
18,1795.91,2.62277,1.37068,2.19962,0.91998,0.87041,0.93434,0.60327,2.58972,1.124,2.30696,0.000731813,0.000731813,0.000731813
19,1894.5,2.57834,1.34358,2.17914,0.90701,0.88125,0.93545,0.60983,2.57882,1.11598,2.29432,0.000676802,0.000676802,0.000676802
20,1992.9,2.59358,1.33678,2.18126,0.91583,0.88544,0.94075,0.61559,2.54381,1.09304,2.27573,0.000621791,0.000621791,0.000621791
21,2092.14,2.52036,1.12804,2.22548,0.90796,0.8809,0.93706,0.60028,2.61894,1.12771,2.32601,0.00056678,0.00056678,0.00056678
22,2192.51,2.51752,1.12083,2.21522,0.92808,0.88389,0.94512,0.61391,2.5705,1.07214,2.28549,0.000511769,0.000511769,0.000511769
23,2292.48,2.48681,1.10794,2.19864,0.91258,0.89153,0.94265,0.62331,2.51591,1.05472,2.25431,0.000456758,0.000456758,0.000456758
24,2390.72,2.46125,1.07342,2.17692,0.93511,0.87836,0.94442,0.62697,2.52958,1.05622,2.27349,0.000401747,0.000401747,0.000401747
25,2488.34,2.42408,1.04285,2.16797,0.92138,0.89083,0.94704,0.63027,2.50176,1.02642,2.25347,0.000346736,0.000346736,0.000346736
26,2587.26,2.40706,1.01666,2.15015,0.92273,0.89277,0.94912,0.62905,2.50972,1.01058,2.25001,0.000291725,0.000291725,0.000291725
27,2685.37,2.37958,0.99724,2.1434,0.93442,0.88124,0.94711,0.63584,2.47736,1.00894,2.23633,0.000236714,0.000236714,0.000236714
28,2783.45,2.35275,0.96665,2.13109,0.93643,0.88667,0.94903,0.63812,2.47624,0.99899,2.2282,0.000181703,0.000181703,0.000181703
29,2881.12,2.32804,0.95519,2.11751,0.93151,0.89522,0.94982,0.63799,2.47933,0.98778,2.23037,0.000126692,0.000126692,0.000126692
30,2978.66,2.3028,0.93724,2.11015,0.9226,0.90389,0.95206,0.63854,2.47221,0.97939,2.22806,7.1681e-05,7.1681e-05,7.1681e-05
